city,area_crime
Aberdeen,941
Airway Heights,326
Algona,84
Anacortes,413
Arlington,"1,108"
Asotin,21
Auburn,"4,578"
Bainbridge Island,339
Battle Ground,325
Bellevue,"4,606"
Bellingham,"4,699"
Bingen,13
Black Diamond,46
Blaine,163
Bonney Lake,511
Bothell,"1,096"
Bremerton,"1,810"
Brewster,116
Brier,75
Buckley,152
Burien,"2,375"
Burlington,715
Camas,295
Castle Rock,41
Centralia,696
Chehalis,555
Cheney,293
Chewelah,95
Clarkston,441
Cle Elum,127
Clyde Hill,41
Colfax,70
College Place,230
Colton,0
Colville,114
Connell,39
Cosmopolis,49
Coulee Dam,13
Coupeville,24
Covington,734
Des Moines,"1,153"
Dupont,48
Duvall,74
East Wenatchee,373
Eatonville,63
Edgewood,212
Edmonds,"1,176"
Ellensburg,633
Elma,123
Enumclaw,361
Ephrata,364
Everett,"6,947"
Everson,57
Federal Way,"5,569"
Ferndale,363
Fife,664
Fircrest,155
Forks,78
Gig Harbor,488
Goldendale,138
Grand Coulee,64
Grandview,246
Granger,54
Ilwaco,15
Issaquah,"1,079"
Kalama,36
Kelso,670
Kenmore,302
Kennewick,"2,419"
Kent,"6,243"
Kettle Falls,35
Kirkland,"2,017"
Kittitas,12
La Center,31
Lacey,"1,404"
Lake Forest Park,338
Lake Stevens,779
Lakewood,"2,465"
Liberty Lake,139
Long Beach,42
Longview,"2,305"
Lynden,140
Lynnwood,"2,554"
Mabton,41
Maple Valley,366
Marysville,"2,785"
Mattawa,30
Medina,70
Mercer Island,373
Mill Creek,441
Milton,188
Monroe,698
Montesano,73
Morton,33
Moses Lake,"1,456"
Mossyrock,18
Mountlake Terrace,709
Mount Vernon,"1,505"
Moxee,26
Mukilteo,546
Napavine,32
Newcastle,343
Normandy Park,135
North Bend,252
Oak Harbor,380
Oakville,25
Ocean Shores,130
Odessa,0
Olympia,"2,170"
Omak,271
Oroville,109
Orting,182
Othello,374
Pacific,157
Pasco,"1,481"
Port Angeles,843
Port Orchard,847
Port Townsend,347
Poulsbo,245
Prosser,135
Pullman,400
Puyallup,"2,780"
Quincy,390
Raymond,60
Reardan,6
Redmond,"1,745"
Renton,"5,207"
Republic,13
Richland,"1,209"
Ridgefield,59
Ritzville,54
Roy,7
Royal City,34
Ruston,21
Sammamish,386
SeaTac,"1,503"
Seattle,"40,649"
Sedro Woolley,479
Selah,91
Sequim,368
Shelton,815
Shoreline,"1,684"
Snohomish,567
Snoqualmie,154
South Bend,6
Spokane,"18,062"
Spokane Valley,"5,245"
Stanwood,205
Steilacoom,102
Sultan,167
Sumas,29
Sumner,593
Sunnyside,457
Tacoma,"12,721"
Tenino,29
Tieton,25
Tonasket,21
Toppenish,362
Tukwila,"3,302"
Tumwater,670
Twisp,31
Union Gap,501
University Place,712
Vancouver,"5,259"
Walla Walla,"1,560"
Wapato,119
Warden,48
Washougal,380
Wenatchee,"1,156"
Westport,79
West Richland,216
White Salmon,31
Wilbur,7
Winlock,51
Winthrop,14
Woodinville,438
Woodland,177
Woodway,29
Yakima,"4,616"
Yarrow Point,10
Yelm,320
Zillah,69
,
 ,
