city,2014_school _rate
Medina,0.977396
Winthrop,0.7068232
Woodinville,0.9349396
Fall City,0.9710251
Liberty Lake,0.8743218
Issaquah,0.8503823
Redmond,0.9154101
Sammamish,0.9635578
Colbert,0.8981326
Lake Forest Park,0.8196202
Mill Creek,0.8991396
Maple Valley,0.9088173
Duvall,0.7495678
Mercer Island,0.955636
Newcastle,0.8562386
Ridgefield,0.8405588
Ione,0.7693284
Saint John,0.7734802
North Bend,0.6191657
Shoreline,0.7800418
Pullman,0.819943
Rockford,0.7549487
University Place,0.7733894
Carbonado,0.8137758
Lyman,0.8282097
Lake Tapps,0.9287983
Bothell,0.7873403
Camas,0.7996695
Black Diamond,0.9014466
Bellevue,0.8310009
Asotin,0.7794578
Ilwaco,0.4162995
Wilbur,0.7262801
Palouse,0.67139
Kirkland,0.8176736
Colfax,0.7815129
Nine Mile Falls,0.7623328
Friday Harbor,0.8303473
Mukilteo,0.8676585
Kenmore,0.7823395
Medical Lake,0.6841029
Carnation,0.6179117
Lake Stevens,0.6680959
Bonney Lake,0.6921408
Coulee City,0.6497697
Sumner,0.7082969
Napavine,0.6612675
West Richland,0.7427334
Mead,0.8986007
Camano Island,0.5443037
Olympia,0.7089149
Davenport,0.4785546
Reardan,0.6975489
Buckley,0.6868814
Amboy,0.7630522
Brier,0.6739653
Pomeroy,0.5751145
Anacortes,0.8293114
Fairchild Afb,0.392405
Clearlake,0.4023508
Metaline Falls,0.8824593
Cosmopolis,0.4529837
Newport,0.62851
Almira,0.6847389
Kingston,0.6420462
Suquamish,0.4538878
Toledo,0.2489886
Sumas,0.6247739
Port Orchard,0.5955936
Gig Harbor,0.7617537
Ritzville,0.5725995
Normandy Park,0.7866184
Wilkeson,0.477396
Bellingham,0.6762357
Poulsbo,0.7264823
Coupeville,0.6430315
Paterson,0.6104581
Lynden,0.6339083
Montesano,0.4911775
Spangle,0.4800921
Union Gap,0.5372956
Renton,0.6615792
Tekoa,0.3612268
Washougal,0.5181162
Otis Orchards,0.6464737
Grapeview,0.4170007
Onalaska,0.4033808
Stanwood,0.613521
Cathlamet,0.5328941
Arlington,0.4839358
Orting,0.4857444
Morton,0.4094823
Battle Ground,0.6690855
Tumwater,0.7409237
Port Angeles,0.5886112
Kalama,0.4328385
Vaughn,0.5361663
Oak Harbor,0.5277832
Joint Base Lewis McChord,0.2908378
Lacey,0.5812897
Snohomish,0.5640643
Anderson Island,(n/a)
Moxee,0.5036166
Silverdale,0.5526232
Cashmere,0.6209197
Everett,0.5078445
Endicott,0.7911646
Enumclaw,0.5485382
Edgewood,0.7131382
Seattle,0.5341463
Toutle,0.5516615
Goldendale,0.3179525
Rainier,0.3112983
Pateros,0.4144817
Wilson Creek,0.3993296
Edmonds,0.5606373
Entiat,0.3428024
Winlock,0.3721784
Sequim,0.5788897
East Wenatchee,0.5160377
Cowiche,0.3454744
Pacific,0.6283905
Graham,0.5043172
Spokane,0.530017
Richland,0.5455324
Lynnwood,0.4565473
Kelso,0.4293835
Yelm,0.5674978
Spokane Valley,0.5371089
Covington,0.6359094
Puyallup,0.5824478
Tonasket,0.4057153
Auburn,0.49437
Dayton,0.4556185
Odessa,0.6624658
Castle Rock,0.2269655
Raymond,0.3541514
Blaine,0.5791892
Des Moines,0.5123303
Naches,0.4475067
Randle,0.2712076
Sultan,0.5064031
Cle Elum,0.431554
Waitsburg,0.513701
Spanaway,0.4073694
Clarkston,0.3857121
Vancouver,0.4063033
Granite Falls,0.3991606
Sedro Woolley,0.3434991
Tukwila,0.5308867
Quilcene,(n/a)
Walla Walla,0.3442268
Langley,0.5946438
Westport,0.2669744
Lakebay,0.6228748
Stevenson,0.3970492
Zillah,0.2250428
Kittitas,0.5769744
Ferndale,0.5061565
Cheney,0.4837781
McKenna,0.7341772
Brush Prairie,0.5575647
Woodland,0.5415421
Long Beach,0.3688969
Harrington,0.1211314
Ocean Shores,0.1856356
Tenino,0.3035718
Everson,0.5052153
Lind,(n/a)
Kent,0.4003716
Kettle Falls,0.3976677
La Conner,0.3554415
Deer Park,0.3592804
Mossyrock,0.3008861
Tacoma,0.3579631
Bremerton,0.3954917
Burbank,0.3101258
Marysville,0.2838424
Lyle,0.2037046
Yacolt,0.6636528
Trout Lake,0.4983729
Mount Vernon,0.4003845
Monroe,0.3856926
Mountlake Terrace,0.5444782
Wenatchee,0.3003957
Royal City,0.2867981
Warden,0.2511383
Kennewick,0.3989716
Lakewood,0.3681976
Airway Heights,0.2947558
Shelton,0.2971229
Prescott,0.2461949
Longview,0.2774105
Belfair,0.3609883
Bow,0.3786829
Satsop,(n/a)
Omak,0.150594
Aberdeen,0.2608586
Mesa,0.1039783
Yakima,0.2885064
Rock Island,0.2739602
Burien,0.2246255
Moses Lake,0.2835682
Federal Way,0.3612395
Chimacum,0.3118888
Elma,0.3152089
Waterville,0.342664
Prosser,0.4558905
Ocean Park,0.0470162
Othello,0.1979282
Roy,0.1509945
Centerville,0.3100267
Darrington,0.2538758
Ashford,0.3544303
Oroville,0.2106525
Burlington,0.368147
Wellpinit,0.0878135
Soap Lake,0.230412
McCleary,0.2441683
Manson,0.2747588
Newman Lake,0.4168173
Benton City,0.1769143
Maple Falls,0.2405063
Concrete,0.1908512
Oakville,0.2484314
Pasco,0.2137419
College Place,(n/a)
Seatac,0.1355278
Carson,0.2341772
Sunnyside,0.1760202
Tieton,0.1446654
Grandview,0.1203388
Inchelium,0.0165744
Amanda Park,0.1756869
Cusick,0.3544994
Pacific Beach,0.5985533
Orondo,0.2250539
Valley,0.1110917
Creston,0.1262282
Wapato,0.061716
Granger,0.1601184
Mabton,0.0994575
Coulee Dam,0.1436398
Loon Lake,0.2151898
Bridgeport,0.1932446
Mattawa,0.0848205
Dallesport,0.0162748
Brewster,0.0890354
Nespelem,0.1175406
Taholah,0.0217246
Outlook,0.0940325
Toppenish,0.0677033
Harrah,0.0027124
