city,school_rate
Medina,0.9915651
Winthrop,0.9370786
Woodinville,0.9370183
Fall City,0.9329201
Liberty Lake,0.9203373
Issaquah,0.9156878
Redmond,0.9151095
Sammamish,0.9149604
Colbert,0.9123637
Lake Forest Park,0.9039362
Mill Creek,0.8841034
Maple Valley,0.8782852
Duvall,0.8740917
Mercer Island,0.8704582
Newcastle,0.8617619
Ridgefield,0.8616762
Ione,0.8595901
Saint John,0.847598
North Bend,0.8379481
Shoreline,0.8331343
Pullman,0.8288391
Rockford,0.8275695
University Place,0.8241009
Carbonado,0.8215199
Lyman,0.8200562
Lake Tapps,0.8144003
Bothell,0.808457
Camas,0.8032722
Black Diamond,0.796626
Bellevue,0.7927085
Asotin,0.7925478
Ilwaco,0.7917888
Wilbur,0.7835128
Palouse,0.7823314
Kirkland,0.775459
Colfax,0.7693513
Nine Mile Falls,0.7684956
Friday Harbor,0.7667565
Mukilteo,0.7576957
Kenmore,0.7534966
Medical Lake,0.7534742
Carnation,0.7478032
Lake Stevens,0.7453218
Bonney Lake,0.7370198
Coulee City,0.734982
Sumner,0.7287576
Napavine,0.7275325
West Richland,0.7240483
Mead,0.7207576
Camano Island,0.7169634
Olympia,0.7121848
Davenport,0.7051814
Reardan,0.7043974
Buckley,0.7039995
Amboy,0.694382
Brier,0.6931805
Pomeroy,0.6904762
Anacortes,0.6848945
Fairchild Afb,0.6841611
Clearlake,0.6757263
Metaline Falls,0.6747891
Cosmopolis,0.6662635
Newport,0.6605488
Almira,0.6561797
Kingston,0.6561231
Suquamish,0.6494845
Toledo,0.6492577
Sumas,0.6476101
Port Orchard,0.6435983
Gig Harbor,0.6405219
Ritzville,0.6404752
Normandy Park,0.6391752
Wilkeson,0.6363636
Bellingham,0.6304563
Poulsbo,0.6297042
Coupeville,0.626884
Paterson,0.6264955
Lynden,0.6214785
Montesano,0.6212914
Spangle,0.6201839
Union Gap,0.6125964
Renton,0.611124
Tekoa,0.6089366
Washougal,0.6079789
Otis Orchards,0.5988753
Grapeview,0.595871
Onalaska,0.590171
Stanwood,0.5900134
Cathlamet,0.5852733
Arlington,0.5806413
Orting,0.5802721
Morton,0.5784895
Battle Ground,0.57366
Tumwater,0.5658935
Port Angeles,0.5658236
Kalama,0.5621795
Vaughn,0.5604498
Oak Harbor,0.5579744
Joint Base Lewis McChord,0.5576382
Lacey,0.5527148
Snohomish,0.5526299
Anderson Island,0.5454545
Moxee,0.5435801
Silverdale,0.5407582
Cashmere,0.5366078
Everett,0.5327453
Endicott,0.530337
Enumclaw,0.5291062
Edgewood,0.5288972
Seattle,0.5280297
Toutle,0.5267008
Goldendale,0.5265167
Rainier,0.5263948
Pateros,0.5235962
Wilson Creek,0.5225814
Edmonds,0.5225669
Entiat,0.5224086
Winlock,0.5205429
Sequim,0.517899
East Wenatchee,0.5159317
Cowiche,0.5052489
Pacific,0.502343
Graham,0.5017711
Spokane,0.5006409
Richland,0.5003512
Lynnwood,0.4962396
Kelso,0.492888
Yelm,0.4915222
Spokane Valley,0.4913926
Covington,0.4905467
Puyallup,0.4893475
Tonasket,0.4822373
Auburn,0.4815521
Dayton,0.4812971
Odessa,0.4807444
Castle Rock,0.4779622
Raymond,0.47795
Blaine,0.474068
Des Moines,0.4712988
Naches,0.4700729
Randle,0.4669347
Sultan,0.4647918
Cle Elum,0.4622526
Waitsburg,0.4609832
Spanaway,0.4603286
Clarkston,0.4577249
Vancouver,0.4568085
Granite Falls,0.4563589
Sedro Woolley,0.4439325
Tukwila,0.4422861
Quilcene,0.4387034
Walla Walla,0.4355895
Langley,0.4315096
Westport,0.4296479
Lakebay,0.4292482
Stevenson,0.4264155
Zillah,0.4257663
Kittitas,0.4254972
Ferndale,0.4192559
Cheney,0.4152452
McKenna,0.4123711
Brush Prairie,0.4094171
Woodland,0.4091693
Long Beach,0.4086223
Harrington,0.4054025
Ocean Shores,0.3993649
Tenino,0.3962795
Everson,0.3955646
Lind,0.3951033
Kent,0.3929966
Kettle Falls,0.3888342
La Conner,0.3836857
Deer Park,0.3809627
Mossyrock,0.3770847
Tacoma,0.3729172
Bremerton,0.371776
Burbank,0.370315
Marysville,0.3655985
Lyle,0.3584236
Yacolt,0.3570759
Trout Lake,0.347668
Mount Vernon,0.3458307
Monroe,0.34507
Mountlake Terrace,0.3383544
Wenatchee,0.3354415
Royal City,0.3351622
Warden,0.3328983
Kennewick,0.3304719
Lakewood,0.3281599
Airway Heights,0.3242736
Shelton,0.3219091
Prescott,0.3205471
Longview,0.3192327
Belfair,0.3168263
Bow,0.3164874
Satsop,0.3130271
Omak,0.3117441
Aberdeen,0.310305
Mesa,0.3088097
Yakima,0.3069328
Rock Island,0.3017806
Burien,0.2908089
Moses Lake,0.29063
Federal Way,0.2866039
Chimacum,0.2846782
