zipcode,unemployment _rate,travel_time_to_work,median_household_income,total_population,median_age
98001,7.10%,29.8,"71,555","32,194",39.3
98002,7.60%,30.1,"45,078","33,817",35.3
98003,7.70%,29.8,"46,250","46,008",35.9
98004,5.50%,19.3,"102,374","32,587",37.8
98005,6.80%,21.9,"88,940","17,733",38
98006,6.00%,26,"113,778","37,519",42.6
98007,5.10%,21.6,"79,579","26,269",32.8
98008,6.20%,22.9,"86,005","24,751",42.5
98010,4.90%,34.1,"71,563","4,918",42.9
98011,5.70%,28.5,"76,961","31,650",37.8
98014,4.00%,35.8,"98,011","6,973",41.7
98019,7.40%,36.4,"96,630","11,143",39.2
98021,6.10%,31.5,"102,097","29,151",38.3
98022,6.40%,34.1,"62,842","21,567",42.9
98023,7.40%,32.3,"72,303","50,065",35.8
98024,6.00%,30,"112,308","5,847",41.3
98027,4.40%,28.7,"102,025","27,855",41.7
98028,6.50%,32.1,"90,588","21,568",39.2
98029,6.40%,29.9,"100,725","26,586",36.9
98030,7.80%,30.2,"52,713","36,730",31.7
98031,8.50%,30.7,"67,793","36,390",35.8
98032,7.90%,32.1,"49,591","36,368",33
98033,5.80%,23.6,"105,449","36,105",39.4
98034,6.00%,27.8,"81,694","42,590",36.8
98038,6.90%,36.6,"96,134","34,362",38.7
98039,2.20%,19.8,"174,063","3,120",45.4
98040,5.60%,23.2,"126,106","24,120",45.3
98042,5.30%,32.6,"89,352","44,894",39.3
98043,6.70%,28.5,"64,992","20,557",37.5
98045,2.80%,30.7,"93,380","14,635",41.1
98047,9.50%,28.1,"55,601","6,676",32.9
98050,0.00%,N,-,114,49.4
98051,6.60%,38.2,"84,096","3,677",40.2
98052,5.00%,21.6,"106,468","62,216",34.6
98053,4.60%,29.7,"120,970","21,185",41.8
98055,5.80%,29.1,"61,736","22,659",36.1
98056,6.40%,27.5,"73,330","33,944",36.9
98057,9.20%,29,"42,775","13,204",34.5
98058,5.10%,31.9,"82,134","44,430",38.4
98059,4.70%,30.1,"93,918","36,409",37.8
98065,3.80%,32.1,"120,814","13,977",35.2
98068,24.00%,28.4,"53,750",259,47.5
98070,5.00%,43.3,"71,820","10,189",51.4
98072,4.10%,27.1,"106,545","22,779",42.3
98074,4.40%,30,"145,262","26,530",38.4
98075,3.00%,31.3,"150,301","23,363",38.3
98077,4.10%,30.2,"137,900","14,246",42.9
98092,7.20%,31.6,"74,144","42,380",36.2
98101,5.80%,22.3,"51,159","11,291",41.5
98102,4.00%,24.4,"75,155","23,655",33.6
98103,3.90%,25.8,"81,330","48,600",33.9
98104,6.60%,23.1,"32,568","13,690",37.6
98105,8.70%,24.6,"49,647","45,515",23.3
98106,8.60%,28.2,"53,848","24,603",36.1
98107,4.70%,27.5,"77,170","23,488",33.9
98108,8.10%,28.1,"53,143","24,681",35.9
98109,2.80%,23.7,"85,957","24,450",33.4
98112,5.40%,23.4,"103,816","22,230",39.9
98115,4.70%,25.5,"92,039","50,134",37.4
98116,3.90%,28.3,"77,781","23,968",42.5
98117,4.50%,27.9,"92,316","31,921",40.5
98118,8.30%,29.9,"55,725","44,839",37.9
98119,3.70%,22.7,"73,794","23,912",33.3
98121,3.70%,23.4,"73,874","13,474",34.2
98122,4.50%,25.2,"60,563","35,052",31.4
98125,6.20%,29.3,"54,561","39,254",37.6
98126,4.30%,30.1,"68,342","22,849",37.9
98133,6.50%,29.1,"53,836","46,329",38.3
98134,17.70%,37.2,"52,981",797,39.3
98136,3.20%,31.3,"90,625","15,415",43.4
98144,4.30%,25.6,"62,633","28,302",39.3
98146,7.00%,30.7,"58,429","26,730",37.4
98148,4.60%,25.4,"46,871","10,659",35.1
98154,-,-,-,0,-
98155,8.00%,29.9,"75,839","34,081",41.7
98158,-,-,-,0,-
98164,22.40%,N,"85,670",106,52.9
98166,5.70%,27.1,"66,323","21,087",43.2
98168,8.60%,26.2,"49,188","32,569",36.2
98174,-,-,-,0,-
98177,5.10%,31.1,"92,938","19,328",47.4
98178,5.10%,31,"60,839","25,363",37.5
98188,8.80%,28.4,"42,965","24,836",35.3
98195,-,-,-,45,55.5
98198,7.40%,28.7,"55,845","36,495",35.8
98199,4.00%,26.3,"87,486","20,871",40.4
98224,20.10%,36.7,"34,861",260,51.4
98288,17.50%,21.6,"29,063",175,58.8
98321,6.70%,36,"75,772","14,894",39.3
98323,14.20%,42,"63,125",619,35.1
98354,4.70%,27.8,"66,208","7,167",35.7
98391,5.60%,35.7,"84,580","47,150",34.8
